0,0
0.1,0.000000004235878891
0.1103,0.0000001361629509
0.1117,0
0.12,0
0.14,0
0.148,0
0.1494,0
0.15,0
0.17,0
0.18,0
0.2,0
0.24,0
0.3,0
0.4,0.00000001385949888
0.5,0.00005468224445
0.6,0.002634996303
0.7,0.02058855377
0.8,0.07268854298
0.9,0.1564842364
1,0.2492903494
1.2,0.4320565485
1.5,0.6539188943
1.7,0.7491137034
1.839,0.7898215856
1.839,0.7588652907
2,0.81301965
2.5,0.8999968641
3,0.9412370578
3.5,0.9629185502
4,0.9751261566
5,0.9872493867
6,0.9925572834
7,0.9951847208
8,0.9959628017
9,0.9915733499
10,0.9744078814
12,0.8843634047
15,0.6668827724
17,0.5279401197
20,0.3664062964
25,0.204048448
30,0.1212504224
35,0.07688517296
40,0.05127572673
50,0.0257490218
60,0.01456671471
70,0.008938926963
80,0.005864063605
90,0.004033111928
100,0.002884136905
