0,0
0.1,0
0.1103,0
0.1117,0
0.12,0
0.14,0
0.148,0
0.1494,0
0.15,0
0.17,0
0.18,0
0.2,0
0.24,0
0.3,0
0.4,0
0.5,0.000000003309490788
0.6,0.000007410419556
0.7,0.0004430756655
0.8,0.005453097408
0.9,0.02506456959
1,0.0632633251
1.2,0.1887987209
1.5,0.4302734036
1.7,0.5636611533
1.839,0.6260605421
1.839,0.6015227032
2,0.6845113862
2.5,0.8258112851
3,0.8964130311
3.5,0.9344016043
4,0.9559470065
5,0.9774358631
6,0.9868278293
7,0.9909529267
8,0.9878221442
9,0.9679068749
10,0.9239147865
12,0.7788217684
15,0.5364572709
17,0.4085006587
20,0.2733148808
25,0.1475803866
30,0.08647097363
35,0.05444069163
40,0.03616179091
50,0.01808821955
60,0.01021560933
70,0.006263588224
80,0.004107135674
90,0.002824001526
100,0.002019149504
