1.5,0.001570191945
1.725,0.01306279356
1.95,0.04740977377
2.175,0.108126811
2.4,0.188237127
2.625,0.2767775942
2.85,0.3648545166
3.075,0.4470526211
3.3,0.5208064135
3.525,0.585403912
3.75,0.641210304
3.975,0.6890268915
4.2,0.7297776964
4.425,0.7644350593
4.65,0.7939082306
4.875,0.8190171795
5.1,0.8404654793
5.325,0.8588449444
5.55,0.874651714
5.775,0.8882852023
6,0.9000960675
6.225,0.9103616163
6.45,0.9193157838
6.675,0.9271544806
6.9,0.9340365846
7.125,0.9401013654
7.35,0.945461518
7.575,0.9502135613
7.8,0.9544385385
8.025,0.9582058367
8.25,0.9615764505
8.475,0.9645978866
8.7,0.9673129162
8.925,0.9697586645
9.15,0.9719663874
9.375,0.9739640949
9.6,0.9757748451
9.825,0.9774205833
10.05,0.9789186268
10.275,0.9802861174
10.5,0.9815356582
10.725,0.9826791057
10.95,0.9837273861
11.175,0.9846899195
11.4,0.9855751955
11.625,0.9863902859
11.85,0.987142023
12.075,0.9878363029
12.3,0.9884782412
12.525,0.9890726992
12.75,0.9896237044
12.975,0.9901350066
13.2,0.9906102765
13.425,0.9910523179
13.65,0.9914639872
13.875,0.9918476534
14.1,0.9922057595
14.325,0.9925401755
14.55,0.9928529024
14.775,0.9931454069
15,0.9934194402
